10.907s | tick 6108 | track 1 | ch 1 | Note On E2 (40) vel 111
10.907s | tick 6108 | track 1 | ch 3 | Note On E2 (40) vel 125
10.907s | tick 6108 | track 1 | ch 10 | Note On C2 (36) vel 123
10.907s | tick 6108 | track 1 | ch 10 | Note On E2 (40) vel 123
10.907s | tick 6108 | track 1 | ch 10 | Note On F2 (41) vel 123
10.907s | tick 6108 | track 1 | ch 10 | Note On C#3 (49) vel 70
10.907s | tick 6108 | track 1 | ch 10 | Note On A3 (57) vel 64
10.914s | tick 6112 | track 1 | ch 2 | Note On E2 (40) vel 111
10.936s | tick 6124 | track 1 | ch 1 | Note Off E2 (40) vel 111
10.936s | tick 6124 | track 1 | ch 2 | Note Off E2 (40) vel 111
11.000s | tick 6160 | track 1 | ch 10 | Note Off A3 (57) vel 64
11.000s | tick 6160 | track 1 | ch 10 | Note Off C2 (36) vel 64
11.000s | tick 6160 | track 1 | ch 10 | Note Off C#3 (49) vel 64
11.000s | tick 6160 | track 1 | ch 10 | Note Off E2 (40) vel 64
11.007s | tick 6164 | track 1 | ch 10 | Note Off F2 (41) vel 64
11.043s | tick 6184 | track 1 | ch 1 | Note On E2 (40) vel 111
11.043s | tick 6184 | track 1 | ch 3 | Note Off E2 (40) vel 125
11.050s | tick 6188 | track 1 | ch 2 | Note On E2 (40) vel 111
11.107s | tick 6220 | track 1 | ch 10 | Note On C#3 (49) vel 23
11.107s | tick 6220 | track 1 | ch 10 | Note On A3 (57) vel 23
11.157s | tick 6248 | track 1 | ch 10 | Note Off C#3 (49) vel 23
11.157s | tick 6248 | track 1 | ch 10 | Note Off A3 (57) vel 23
11.179s | tick 6260 | track 1 | ch 1 | Note On E3 (52) vel 114
11.186s | tick 6264 | track 1 | ch 2 | Note On E3 (52) vel 114
11.207s | tick 6276 | track 1 | ch 1 | Note Off E2 (40) vel 114
11.214s | tick 6280 | track 1 | ch 2 | Note Off E2 (40) vel 114
11.300s | tick 6328 | track 1 | ch 1 | Note Off E3 (52) vel 114
11.307s | tick 6332 | track 1 | ch 2 | Note Off E3 (52) vel 114
